Category,Material,Calliper,Price
Acrílico (Lámina),Opal Org,4mm*,451000
Acrílico (Lámina),Opal Org,5mm,576000
Acrílico (Lámina),Opal Org,8mm*,945000
Acrílico (Lámina),Opal Org,10mm,1130000
Acrílico (Lámina),Color Org,2mm,228000
Acrílico (Lámina),Color Org,3mm,333000
Acrílico (Lámina),Color Org,4mm*,439000
Acrílico (Lámina),Color Org,5mm,544000
Acrílico (Lámina),Color Org,8mm*,870000
Acrílico (Lámina),Color Org,10mm,1033000
Acrílico (Lámina),Espejo Org,3mm,452000
Acrílico (Lámina),Brush Org,3mm,528000
Acrílico (Lámina),Cristal (Rec),2mm,166000
Acrílico (Lámina),Cristal (Rec),3mm,208000
Acrílico (Lámina),Cristal (Rec),4mm,291000
Acrílico (Lámina),Cristal (Rec),5mm,344000
Acrílico (Lámina),Cristal (Rec),8mm,550000
Acrílico (Lámina),Cristal (Rec),10mm,600000
Acrílico (Lámina),Opal (Rec),2mm,173000
Acrílico (Lámina),Opal (Rec),3mm,216000
Acrílico (Lámina),Opal (Rec),4mm,301000
Acrílico (Lámina),Opal (Rec),5mm,352000
Acrílico (Lámina),Opal (Rec),8mm,560000
Acrílico (Lámina),Opal (Rec),10mm,608000
Acrílico (Lámina),Color (Rec),2mm,197000
Acrílico (Lámina),Color (Rec),3mm,232000
Acrílico (Lámina),Color (Rec),4mm,315000
Acrílico (Lámina),Color (Rec),5mm,370000
Acrílico (Lámina),Color (Rec),8mm,581000
Acrílico (Lámina),Color (Rec),10mm,640000
Acrílico (Media lámina),Cristal  Org,2mm,123000
Acrílico (Media lámina),Cristal  Org,3mm,184000
Acrílico (Media lámina),Cristal  Org,4mm,233000
Acrílico (Media lámina),Cristal  Org,5mm,284000
Acrílico (Media lámina),Cristal  Org,6mm*,348000
Acrílico (Media lámina),Cristal  Org,8mm,490000
Acrílico (Media lámina),Cristal  Org,10mm,586000
Acrílico (Media lámina),Cristal  Org,15mm*,933000
Acrílico (Media lámina),Opal Org,2mm,131000
Acrílico (Media lámina),Opal Org,3mm,184000
Acrílico (Media lámina),Opal Org,4mm*,254000
Acrílico (Media lámina),Opal Org,5mm,324000
Acrílico (Media lámina),Opal Org,8mm*,388000
Acrílico (Media lámina),Opal Org,10mm,420000
Acrílico (Media lámina),Color Org,2mm,133000
Acrílico (Media lámina),Color Org,3mm,187000
Acrílico (Media lámina),Color Org,4mm*,187000
Acrílico (Media lámina),Color Org,5mm,306000
Acrílico (Media lámina),Color Org,8mm*,306000
Acrílico (Media lámina),Color Org,10mm,586000
Acrílico (Media lámina),Espejo Org,3mm,256000
Acrílico (Media lámina),Brush Org,3mm,298000
Acrílico (Media lámina),Cristal (Rec),2mm,104000
Acrílico (Media lámina),Cristal (Rec),3mm,130000
Acrílico (Media lámina),Cristal (Rec),4mm,182000
Acrílico (Media lámina),Cristal (Rec),5mm,215000
Acrílico (Media lámina),Cristal (Rec),8mm,344000
Acrílico (Media lámina),Cristal (Rec),10mm,375000
Acrílico (Media lámina),Opal (Rec),2mm,108000
Acrílico (Media lámina),Opal (Rec),3mm,135000
Acrílico (Media lámina),Opal (Rec),4mm,188000
Acrílico (Media lámina),Opal (Rec),5mm,220000
Acrílico (Media lámina),Opal (Rec),8mm,350000
Acrílico (Media lámina),Opal (Rec),10mm,380000
Acrílico (Media lámina),Color (Rec),2mm,123000
Acrílico (Media lámina),Color (Rec),3mm,145000
Acrílico (Media lámina),Color (Rec),4mm,197000
Acrílico (Media lámina),Color (Rec),5mm,231000
Acrílico (Media lámina),Color (Rec),8mm,363000
Acrílico (Media lámina),Color (Rec),10mm,400000
Acrílico (Octavo),Cristal  Org,2mm,33000
Acrílico (Octavo),Cristal  Org,3mm,51000
Acrílico (Octavo),Cristal  Org,4mm,65000
Acrílico (Octavo),Cristal  Org,5mm,76000
Acrílico (Octavo),Cristal  Org,6mm*,94000
Acrílico (Octavo),Cristal  Org,8mm,134000
Acrílico (Octavo),Cristal  Org,10mm,162000
Acrílico (Octavo),Cristal  Org,15mm*,255000
Acrílico (Octavo),Opal Org,2mm,37000
Acrílico (Octavo),Opal Org,3mm,51000
Acrílico (Octavo),Opal Org,4mm*,70000
Acrílico (Octavo),Opal Org,5mm,90000
Acrílico (Octavo),Opal Org,8mm*,142000
Acrílico (Octavo),Opal Org,10mm,167000
Acrílico (Octavo),Color Org,2mm,37000
Acrílico (Octavo),Color Org,3mm,52000
Acrílico (Octavo),Color Org,4mm*,99000
Acrílico (Octavo),Color Org,5mm,86000
Acrílico (Octavo),Color Org,8mm*,162000
Acrílico (Octavo),Color Org,10mm,162000
Acrílico (Octavo),Espejo Org,3mm,72000
Acrílico (Octavo),Brush Org,3mm,83000
Acrílico (Octavo),Cristal (Rec),2mm,30000
Acrílico (Octavo),Cristal (Rec),3mm,37000
Acrílico (Octavo),Cristal (Rec),4mm,52000
Acrílico (Octavo),Cristal (Rec),5mm,62000
Acrílico (Octavo),Cristal (Rec),8mm,99000
Acrílico (Octavo),Cristal (Rec),10mm,108000
Acrílico (Octavo),Opal (Rec),2mm,31000
Acrílico (Octavo),Opal (Rec),3mm,39000
Acrílico (Octavo),Opal (Rec),4mm,54000
Acrílico (Octavo),Opal (Rec),5mm,63000
Acrílico (Octavo),Opal (Rec),8mm,101000
Acrílico (Octavo),Opal (Rec),10mm,109000
Acrílico (Octavo),Color (Rec),2mm,35000
Acrílico (Octavo),Color (Rec),3mm,42000
Acrílico (Octavo),Color (Rec),4mm,57000
Acrílico (Octavo),Color (Rec),5mm,66000
Acrílico (Octavo),Color (Rec),8mm,104000
Acrílico (Octavo),Color (Rec),10mm,115000
Acrílico a medida,Cristal (Org),2mm,12
Acrílico a medida,Cristal (Org),3mm,17.5
Acrílico a medida,Cristal (Org),4mm,22.5
Acrílico a medida,Cristal (Org),5mm,28
Acrílico a medida,Cristal (Org),6mm*,34
Acrílico a medida,Cristal (Org),8mm,46.5
Acrílico a medida,Cristal (Org),10mm,56
Acrílico a medida,Cristal (Org),15mm*,87
Acrílico a medida,Opal (Org),2mm,12.5
Acrílico a medida,Opal (Org),3mm,17.5
Acrílico a medida,Opal (Org),4mm*,24
Acrílico a medida,Opal (Org),5mm,30.5
Acrílico a medida,Opal (Org),8mm*,50.5
Acrílico a medida,Opal (Org),10mm,60.5
Acrílico a medida,Color (Org),2mm,12
Acrílico a medida,Color (Org),3mm,18
Acrílico a medida,Color (Org),4mm*,23.5
Acrílico a medida,Color (Org),5mm,29
Acrílico a medida,Color (Org),8mm,46.5
Acrílico a medida,Color (Org),10mm,55
Acrílico a medida,Espejo (Org),3mm,24
Acrílico a medida,Brush (Org),3mm,28
Acrílico a medida,Cristal (Rec),2mm,9
Acrílico a medida,Cristal (Rec),3mm,11
Acrílico a medida,Cristal (Rec),4mm,15.5
Acrílico a medida,Cristal (Rec),5mm,18.5
Acrílico a medida,Cristal (Rec),8mm,29.5
Acrílico a medida,Cristal (Rec),10mm,32
Acrílico a medida,Opal (Rec),2mm,9.5
Acrílico a medida,Opal (Rec),3mm,11.5
Acrílico a medida,Opal (Rec),4mm,16
Acrílico a medida,Opal (Rec),5mm,19
Acrílico a medida,Opal (Rec),8mm,30
Acrílico a medida,Opal (Rec),10mm,32.5
Acrílico a medida,Color (Rec),2mm,10.5
Acrílico a medida,Color (Rec),3mm,12.5
Acrílico a medida,Color (Rec),4mm,17
Acrílico a medida,Color (Rec),5mm,20
Acrílico a medida,Color (Rec),8mm,31
Acrílico a medida,Color (Rec),10mm,34.5
MDF a medida,MDF 2.5mm/2.7mm,MDF 2.5mm/2.7mm,2.0
MDF a medida,MDF 5.5mm,MDF 5.5mm,5.0
MDF a medida,MDF 9mm,MDF 9mm,9.0
MDF a medida,MDF 12mm,MDF 12mm,12.0
Vinilo a medida,Regular,Regular,2.0
Vinilo a medida,Brush,Brush,4.0
Vinilo a medida,Fotoluminiscente 5h,Fotoluminiscente 5h,10.0
Vinilo a medida,Fotoluminiscente 10h,Fotoluminiscente 10h,20.0
Vinilo a medida,Transfer,Transfer,1.5
Impresión,Vinilo laminado,Vinilo laminado,6.0
Impresión,Vinilo laminado en espejo,Vinilo laminado en espejo,6.5
Impresión,Banner,-,8.0
Poliestireno a medida,Blanco u Opal (P),40(1mm),3.5
Poliestireno a medida,Blanco u Opal (P),60(1.5mm),5.0
Poliestireno a medida,Blanco u Opal (P),80(2mm),6.5
Poliestireno a medida,Blanco u Opal (P),100(2.5mm),8.0
Poliestireno a medida,Colores (P),40(1mm),3.5
Poliestireno a medida,Colores (P),60(1.5mm),5.0
Poliestireno a medida,Colores (P),80(2mm),6.5
Poliestireno a medida,Colores (P),100(2.5mm),8.0
Eléctricos,Neón Flex,Metro instalado,30000.0
Eléctricos,Neón Flex,Metro suelto,15000.0
Eléctricos,Fuente,12V-1A,10000.0
Eléctricos,Fuente,12V-2A,18000.0
Eléctricos,Fuente,12V-3A,25000.0
Eléctricos,Fuente,12V-5A,40000.0
Eléctricos,Fuente,12V-10A,70000.0
Herrajes,Cerradura,Grande,6000.0
Herrajes,Cerradura,Pequeña,4000.0
Herrajes,Bisagra Acrílica,Grande,3000.0
Herrajes,Bisagra Acrílica,Mediana,4500.0
Herrajes,Bisagra Acrílica,Pequeña,6000.0
Herrajes,Dilatador,D2xA2,6000.0
Letras Volumétrica,Color_LC,Con luz_C, 4500.0
Letras Volumétrica,Color_LC,Sin luz_C, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Con luz_B, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Sin luz_B, 4500.0
Corte/Grabado,Tiempo,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,Grueso (0.1mm),60.5
Corte/Grabado,Grabado,Medio (0.075mm),80.5
Corte/Grabado,Grabado,Fino (0.05mm),12.2
Mano de obra,-,-,1.0
Otros,-,-,1.0
