Category,Material,Calliper,Price
Ac Octavo (60x45),Cristal (Recuperado),2,20438
Ac Octavo (60x45),Cristal (Recuperado),3,25313
Ac Octavo (60x45),Cristal (Recuperado),4,35063
Ac Octavo (60x45),Cristal (Recuperado),5,42188
Ac Octavo (60x45),Cristal (Recuperado),8,65438
Ac Octavo (60x45),Cristal (Recuperado),10,71250
Ac Octavo (60x45),Opal (Recuperado),2,21563
Ac Octavo (60x45),Opal (Recuperado),3,27000
Ac Octavo (60x45),Opal (Recuperado),4,36188
Ac Octavo (60x45),Opal (Recuperado),5,43125
Ac Octavo (60x45),Opal (Recuperado),8,72563
Ac Octavo (60x45),Opal (Recuperado),10,79125
Ac Octavo (60x45),Color (Recuperado),2,24000
Ac Octavo (60x45),Color (Recuperado),3,28125
Ac Octavo (60x45),Color (Recuperado),4,37875
Ac Octavo (60x45),Color (Recuperado),5,44625
Ac Octavo (60x45),Color (Recuperado),8,73688
Ac Octavo (60x45),Color (Recuperado),10,88482
Ac Octavo (60x45),Cristal (Original),2,32794
Ac Octavo (60x45),Cristal (Original),3,42900
Ac Octavo (60x45),Cristal (Original),4,56307
Ac Octavo (60x45),Cristal (Original),5,71987
Ac Octavo (60x45),Cristal (Original),6,81461
Ac Octavo (60x45),Cristal (Original),8,115503
Ac Octavo (60x45),Cristal (Original),10,143138
Ac Octavo (60x45),Cristal (Original),15,216550
Ac Octavo (60x45),Opal (Original),2,36919
Ac Octavo (60x45),Opal (Original),3,44344
Ac Octavo (60x45),Opal (Original),5,71987
Ac Octavo (60x45),Opal (Original),10,138795
Ac Octavo (60x45),Color (Original),2,29698
Ac Octavo (60x45),Color (Original),3,44344
Ac Octavo (60x45),Color (Original),5,71987
Ac Octavo (60x45),Color (Original),10,138795
Ac Octavo (60x45),Color Traslúcido (Original),3,46609
Ac Octavo (60x45),Espejo (Original),3,61463
Ac Octavo (60x45),Espejo Traslúcido (Original),3,58783
Ac Octavo (60x45),Metalizado (Original),3,74250
Ac Octavo (60x45),Textura Madera (Original),3,66023
Ac Octavo (60x45),Blanco Sellado (Original),3,45406
Ac Octavo (60x45),Blanco Sellado (Original),5,70147
Ac Octavo (60x45),Cristal Mate (Original),3,45406
Ac Octavo (60x45),Negro Mate (Original),3,45406
MDF a medida,MDF 2.5mm/2.7mm,MDF 2.5mm/2.7mm,2.0
MDF a medida,MDF 5.5mm,MDF 5.5mm,5.0
MDF a medida,MDF 9mm,MDF 9mm,9.0
MDF a medida,MDF 12mm,MDF 12mm,12.0
Vinilo a medida,Regular,Regular,2.0
Vinilo a medida,Brush,Brush,4.0
Vinilo a medida,Fotoluminiscente 5h,Fotoluminiscente 5h,10.0
Vinilo a medida,Fotoluminiscente 10h,Fotoluminiscente 10h,20.0
Vinilo a medida,Transfer,Transfer,1.5
Impresión,Vinilo laminado,Vinilo laminado,6.0
Impresión,Vinilo laminado en espejo,Vinilo laminado en espejo,6.5
Impresión,Banner,-,8.0
PS a medida,Blanco,15 (0.38 mm),1.3
PS a medida,Blanco,20 (0.5 mm),1.7
PS a medida,Blanco,30 (0.75 mm),2.6
PS a medida,Blanco,40 (1 mm),3.4
PS a medida,Blanco,60 (1.5 mm),5.1
PS a medida,Blanco,80 (2 mm),6.8
PS a medida,Blanco,100 (2.5 mm),8.4
PS a medida,Blanco,120 (3 mm),10.1
PS a medida,Blanco,150 (3.75 mm),12.6
PS a medida,Blanco,180 (4.5 mm),15.1
PS a medida,Ecolam,30 (0.75 mm),2.2
PS a medida,Ecolam,40 (1 mm),2.9
PS a medida,Ecolam,60 (1.5 mm),4.4
PS a medida,Ecolam,80 (2 mm),5.8
PS a medida,Ecolam,100 (2.5 mm),7.3
PS a medida,Blackout,20 (0.5 mm),2
PS a medida,Blackout,30 (0.75 mm),3
PS a medida,Blackout,40 (1 mm),3.9
PS a medida,Blackout,60 (1.5 mm),5.9
PS a medida,Colores,40 (1 mm),3.9
PS a medida,Colores,60 (1.5 mm),5.8
PS a medida,Colores,80 (2 mm),7.7
PS a medida,Colores,100 (2.5 mm),9.6
PS a medida,Colores,120 (3 mm),11.5
PS a medida,Cristal,40 (1 mm),5.2
PS a medida,Cristal,60 (1.5 mm),7.8
PS a medida,Cristal,80 (2 mm),10.3
PS a medida,Cristal,100 (2.5 mm),12.5
PS a medida,Cristal,120 (3 mm),15
PS a medida,Cristal,180 (4.5 mm),22.5
PS (100x200),Blanco,15 (0.38 mm),22400
PS (100x200),Blanco,20 (0.5 mm),29900
PS (100x200),Blanco,30 (0.75 mm),44800
PS (100x200),Blanco,40 (1 mm),59700
PS (100x200),Blanco,60 (1.5 mm),89500
PS (100x200),Blanco,80 (2 mm),119300
PS (100x200),Blanco,100 (2.5 mm),149100
PS (100x200),Blanco,120 (3 mm),178900
PS (100x200),Blanco,150 (3.75 mm),223700
PS (100x200),Blanco,180 (4.5 mm),268400
PS (100x200),Ecolam,30 (0.75 mm),38600
PS (100x200),Ecolam,40 (1 mm),51500
PS (100x200),Ecolam,60 (1.5 mm),77200
PS (100x200),Ecolam,80 (2 mm),102900
PS (100x200),Ecolam,100 (2.5 mm),128600
PS (100x200),Blackout,20 (0.5 mm),34600
PS (100x200),Blackout,30 (0.75 mm),51800
PS (100x200),Blackout,40 (1 mm),69100
PS (100x200),Blackout,60 (1.5 mm),103600
PS (100x200),Colores,40 (1 mm),67900
PS (100x200),Colores,60 (1.5 mm),101800
PS (100x200),Colores,80 (2 mm),135800
PS (100x200),Colores,100 (2.5 mm),169700
PS (100x200),Colores,120 (3 mm),203600
PS (100x200),Cristal,40 (1 mm),91400
PS (100x200),Cristal,60 (1.5 mm),137000
PS (100x200),Cristal,80 (2 mm),182700
PS (100x200),Cristal,100 (2.5 mm),222100
PS (100x200),Cristal,120 (3 mm),266500
PS (100x200),Cristal,180 (4.5 mm),399700
Pet-G a medida,Cristal,40 (1 mm),9.4
Pet-G 100x200,Cristal,40 (1 mm),171200
PP a medida,Natural (Hielo),20 (0.5 mm),1.5
PP a medida,Natural (Hielo),30 (0.75 mm),2.2
PP a medida,Natural (Hielo),40 (1 mm),2.9
PP a medida,Natural (Hielo),60 (1.5 mm),4.4
PP a medida,Natural (Hielo),80 (2 mm),5.8
PP a medida,Natural (Hielo),120 (3 mm),8.8
PP a medida,Natural (Hielo),160 (4 mm),11.7
PP a medida,Natural (Hielo),200 (5 mm),14.6
PP a medida,Natural (Hielo),240 (6 mm),17.5
PP a medida,Color,20 (0.5 mm),1.7
PP 100x200,Natural (Hielo),20 (0.5 mm),26600
PP 100x200,Natural (Hielo),30 (0.75 mm),39800
PP 100x200,Natural (Hielo),40 (1 mm),53100
PP 100x200,Natural (Hielo),60 (1.5 mm),79600
PP 100x200,Natural (Hielo),80 (2 mm),106100
PP 100x200,Natural (Hielo),120 (3 mm),160200
PP 100x200,Natural (Hielo),160 (4 mm),213600
PP 100x200,Natural (Hielo),200 (5 mm),267000
PP 100x200,Natural (Hielo),240 (6 mm),320400
PP 100x200,Color,20 (0.5 mm),30300
ABS,2.5mm,A medida, 25.5
ABS,2.5mm,Lámina (120x60), 169050
Eléctricos,Neón Flex,Metro instalado,30000.0
Eléctricos,Neón Flex,Metro suelto,15000.0
Eléctricos,Fuente,12V-1A,10000.0
Eléctricos,Fuente,12V-2A,18000.0
Eléctricos,Fuente,12V-3A,25000.0
Eléctricos,Fuente,12V-5A,40000.0
Eléctricos,Fuente,12V-10A,70000.0
Herrajes,Cerradura,Grande,6000.0
Herrajes,Cerradura,Pequeña,4000.0
Herrajes,Bisagra Acrílica,Grande,3000.0
Herrajes,Bisagra Acrílica,Mediana,4500.0
Herrajes,Bisagra Acrílica,Pequeña,6000.0
Herrajes,Dilatador,D2xA2,6000.0
Letras Volumétrica,Color_LC,Con luz_C, 4500.0
Letras Volumétrica,Color_LC,Sin luz_C, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Con luz_B, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Sin luz_B, 4500.0
Corte/Grabado,Tiempo,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,0.05,135.7050
Corte/Grabado,Grabado,0.06,113.1567
Corte/Grabado,Grabado,0.07,97.1100
Corte/Grabado,Grabado,0.08,85.2133
Corte/Grabado,Grabado,0.09,75.8067
Corte/Grabado,Grabado,0.1,68.1983
Corte/Grabado,Grabado,0.11,62.2500
Corte/Grabado,Grabado,0.12,56.9933
Corte/Grabado,Grabado,0.13,52.7050
Corte/Grabado,Grabado,0.14,48.9700
Corte/Grabado,Grabado,0.15,45.6500
Corte/Grabado,Grabado,0.2,34.4450
Corte/Grabado,Grabado,0.25,27.6667
Corte/Grabado,Grabado,0.3,23.1017
Corte/Grabado,Grabado,0.35,19.9200
Corte/Grabado,Grabado,0.4,17.4300
Corte/Grabado,Grabado,0.45,15.4933
Corte/Grabado,Grabado,0.5,13.9717
Mano de obra,-,-,1.0
Otros,-,-,1.0
