Category,Material,Calliper,Price
Acrílico (Media lámina),Color (Rec),2mm,123000
Acrílico (Media lámina),Color (Rec),3mm,145000
Acrílico (Media lámina),Color (Rec),4mm,197000
Acrílico (Media lámina),Color (Rec),5mm,231000
Acrílico (Media lámina),Color (Rec),8mm,363000
Acrílico (Media lámina),Color (Rec),10mm,400000
Acrílico (Cuarto de lámina),Cristal Org,2mm,65000
Acrílico (Cuarto de lámina),Cristal Org,3mm,99000
Acrílico (Cuarto de lámina),Cristal Org,4mm,126000
Acrílico (Cuarto de lámina),Cristal Org,5mm,148000
Acrílico (Cuarto de lámina),Cristal Org,6mm*,184000
Acrílico (Cuarto de lámina),Cristal Org,8mm,261000
Acrílico (Cuarto de lámina),Cristal Org,10mm,315000
Acrílico (Cuarto de lámina),Cristal Org,15mm*,497000
Acrílico (Cuarto de lámina),Opal Org,2mm,72000
Acrílico (Cuarto de lámina),Opal Org,3mm,99000
Acrílico (Cuarto de lámina),Opal Org,4mm*,137000
Acrílico (Cuarto de lámina),Opal Org,5mm,175000
Acrílico (Cuarto de lámina),Opal Org,8mm*,275000
Acrílico (Cuarto de lámina),Opal Org,10mm,326000
Acrílico (Cuarto de lámina),Color Org,2mm,72000
Acrílico (Cuarto de lámina),Color Org,3mm,101000
Acrílico (Cuarto de lámina),Color Org,4mm*,193000
Acrílico (Cuarto de lámina),Color Org,5mm,167000
Acrílico (Cuarto de lámina),Color Org,8mm*,265000
Acrílico (Cuarto de lámina),Color Org,10mm,315000
Acrílico (Cuarto de lámina),Espejo Org,3mm,14000
Acrílico (Cuarto de lámina),Brush Org,3mm,162000
Acrílico (Cuarto de lámina),Cristal (Rec),2mm,55000
Acrílico (Cuarto de lámina),Cristal (Rec),3mm,68000
Acrílico (Cuarto de lámina),Cristal (Rec),4mm,96000
Acrílico (Cuarto de lámina),Cristal (Rec),5mm,113000
Acrílico (Cuarto de lámina),Cristal (Rec),8mm,181000
Acrílico (Cuarto de lámina),Cristal (Rec),10mm,197000
Acrílico (Cuarto de lámina),Opal (Rec),2mm,57000
Acrílico (Cuarto de lámina),Opal (Rec),3mm,71000
Acrílico (Cuarto de lámina),Opal (Rec),4mm,99000
Acrílico (Cuarto de lámina),Opal (Rec),5mm,116000
Acrílico (Cuarto de lámina),Opal (Rec),8mm,184000
Acrílico (Cuarto de lámina),Opal (Rec),10mm,200000
Acrílico (Cuarto de lámina),Color (Rec),2mm,65000
Acrílico (Cuarto de lámina),Color (Rec),3mm,76000
Acrílico (Cuarto de lámina),Color (Rec),4mm,103000
Acrílico (Cuarto de lámina),Color (Rec),5mm,121000
Acrílico (Cuarto de lámina),Color (Rec),8mm,191000
Acrílico (Cuarto de lámina),Color (Rec),10mm,210000
Acrílico (Octavo),Cristal Org,2mm,33000
Acrílico (Octavo),Cristal Org,3mm,51000
Acrílico (Octavo),Cristal Org,4mm,65000
Acrílico (Octavo),Cristal Org,5mm,76000
Acrílico (Octavo),Cristal Org,6mm*,94000
Acrílico (Octavo),Cristal Org,8mm,134000
Acrílico (Octavo),Cristal Org,10mm,162000
Acrílico (Octavo),Cristal Org,15mm*,255000
Acrílico (Octavo),Opal Org,2mm,37000
Acrílico (Octavo),Opal Org,3mm,51000
Acrílico (Octavo),Opal Org,4mm*,70000
Acrílico (Octavo),Opal Org,5mm,90000
Acrílico (Octavo),Opal Org,8mm*,142000
Acrílico (Octavo),Opal Org,10mm,167000
Acrílico (Octavo),Color Org,2mm,37000
Acrílico (Octavo),Color Org,3mm,52000
Acrílico (Octavo),Color Org,4mm*,69000
Acrílico (Octavo),Color Org,5mm,86000
Acrílico (Octavo),Color Org,8mm*,137000
Acrílico (Octavo),Color Org,10mm,162000
Acrílico (Octavo),Espejo Org,3mm,72000
Acrílico (Octavo),Brush Org,3mm,83000
Acrílico (Octavo),Cristal (Rec),2mm,30000
Acrílico (Octavo),Cristal (Rec),3mm,37000
Acrílico (Octavo),Cristal (Rec),4mm,52000
Acrílico (Octavo),Cristal (Rec),5mm,62000
Acrílico (Octavo),Cristal (Rec),8mm,99000
Acrílico (Octavo),Cristal (Rec),10mm,108000
Acrílico (Octavo),Opal (Rec),2mm,31000
Acrílico (Octavo),Opal (Rec),3mm,39000
Acrílico (Octavo),Opal (Rec),4mm,54000
Acrílico (Octavo),Opal (Rec),5mm,63000
Acrílico (Octavo),Opal (Rec),8mm,101000
Acrílico (Octavo),Opal (Rec),10mm,109000
Acrílico (Octavo),Color (Rec),2mm,35000
Acrílico (Octavo),Color (Rec),3mm,42000
Acrílico (Octavo),Color (Rec),4mm,57000
Acrílico (Octavo),Color (Rec),5mm,66000
Acrílico (Octavo),Color (Rec),8mm,104000
Acrílico (Octavo),Color (Rec),10mm,115000
MDF a medida,MDF 2.5mm/2.7mm,MDF 2.5mm/2.7mm,2.0
MDF a medida,MDF 5.5mm,MDF 5.5mm,5.0
MDF a medida,MDF 9mm,MDF 9mm,9.0
MDF a medida,MDF 12mm,MDF 12mm,12.0
Vinilo a medida,Regular,Regular,2.0
Vinilo a medida,Brush,Brush,4.0
Vinilo a medida,Fotoluminiscente 5h,Fotoluminiscente 5h,10.0
Vinilo a medida,Fotoluminiscente 10h,Fotoluminiscente 10h,20.0
Vinilo a medida,Transfer,Transfer,1.5
Impresión,Vinilo laminado,Vinilo laminado,6.0
Impresión,Vinilo laminado en espejo,Vinilo laminado en espejo,6.5
Impresión,Banner,-,8.0
Poliestireno a medida,Blanco u Opal (P),40(1mm),3.5
Poliestireno a medida,Blanco u Opal (P),60(1.5mm),5.0
Poliestireno a medida,Blanco u Opal (P),80(2mm),6.5
Poliestireno a medida,Blanco u Opal (P),100(2.5mm),8.0
Poliestireno a medida,Colores (P),40(1mm),3.5
Poliestireno a medida,Colores (P),60(1.5mm),5.0
Poliestireno a medida,Colores (P),80(2mm),6.5
Poliestireno a medida,Colores (P),100(2.5mm),8.0
PET-G a medida,PET-G a medida,40(1mm),9.0
ABS,Silver,2.5mm,20.0
ABS,Otros,2.5mm,16.5
Eléctricos,Neón Flex,Metro instalado,30000.0
Eléctricos,Neón Flex,Metro suelto,15000.0
Eléctricos,Fuente,12V-1A,10000.0
Eléctricos,Fuente,12V-2A,18000.0
Eléctricos,Fuente,12V-3A,25000.0
Eléctricos,Fuente,12V-5A,40000.0
Eléctricos,Fuente,12V-10A,70000.0
Herrajes,Cerradura,Grande,6000.0
Herrajes,Cerradura,Pequeña,4000.0
Herrajes,Bisagra Acrílica,Grande,3000.0
Herrajes,Bisagra Acrílica,Mediana,4500.0
Herrajes,Bisagra Acrílica,Pequeña,6000.0
Herrajes,Dilatador,D2xA2,6000.0
Letras Volumétrica,Color_LC,Con luz_C, 4500.0
Letras Volumétrica,Color_LC,Sin luz_C, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Con luz_B, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Sin luz_B, 4500.0
Corte/Grabado,Tiempo,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,0.05,135.7050
Corte/Grabado,Grabado,0.06,113.1567
Corte/Grabado,Grabado,0.07,97.1100
Corte/Grabado,Grabado,0.08,85.2133
Corte/Grabado,Grabado,0.09,75.8067
Corte/Grabado,Grabado,0.1,68.1983
Corte/Grabado,Grabado,0.11,62.2500
Corte/Grabado,Grabado,0.12,56.9933
Corte/Grabado,Grabado,0.13,52.7050
Corte/Grabado,Grabado,0.14,48.9700
Corte/Grabado,Grabado,0.15,45.6500
Corte/Grabado,Grabado,0.2,34.4450
Corte/Grabado,Grabado,0.25,27.6667
Corte/Grabado,Grabado,0.3,23.1017
Corte/Grabado,Grabado,0.35,19.9200
Corte/Grabado,Grabado,0.4,17.4300
Corte/Grabado,Grabado,0.45,15.4933
Corte/Grabado,Grabado,0.5,13.9717
Mano de obra,-,-,1.0
Otros,-,-,1.0
