Category,Material,Calliper,Price
Ac (180x120),Opal (Original),2mm,262945
Ac (180x120),Opal (Original),3mm,315828
Ac (180x120),Opal (Original),4mm,474517
Ac (180x120),Opal (Original),5mm,512709
Ac (180x120),Opal (Original),10mm,988533
Ac (180x120),Color (Original),2mm,211517
Ac (180x120),Color (Original),3mm,315828
Ac (180x120),Color (Original),5mm,512709
Ac (180x120),Color (Original),10mm,988533
Ac (180x120),Color Traslúcido (Original),3mm,331959
Ac (180x120),Espejo (Original),3mm,437752
Ac (180x120),Espejo Traslúcido (Original),3mm,418663
Ac (180x120),Metalizado (Original),3mm,528828
Ac (180x120),Textura Madera (Original),3mm,470231
Ac (180x120),Blanco Sellado (Original),3mm,323393
Ac (180x120),Blanco Sellado (Original),5mm,499599
Ac (180x120),Cristal Mate (Original),3mm,323393
Ac (180x120),Negro Mate (Original),3mm,323393
Ac (120x120),Cristal (Recuperado),2mm,112828
Ac (120x120),Cristal (Recuperado),3mm,135394
Ac (120x120),Cristal (Recuperado),4mm,183345
Ac (120x120),Cristal (Recuperado),5mm,210142
Ac (120x120),Cristal (Recuperado),8mm,310276
Ac (120x120),Cristal (Recuperado),10mm,366690
Ac (120x120),Opal (Recuperado),2mm,119880
Ac (120x120),Opal (Recuperado),3mm,141035
Ac (120x120),Opal (Recuperado),4mm,190397
Ac (120x120),Opal (Recuperado),5mm,215078
Ac (120x120),Opal (Recuperado),8mm,317328
Ac (120x120),Opal (Recuperado),10mm,370216
Ac (120x120),Color (Recuperado),2mm,130457
Ac (120x120),Color (Recuperado),3mm,155138
Ac (120x120),Color (Recuperado),4mm,197449
Ac (120x120),Color (Recuperado),5mm,222835
Ac (120x120),Color (Recuperado),8mm,324380
Ac (120x120),Color (Recuperado),10mm,398423
Ac (120x120),Cristal (Original),2mm,153794
Ac (120x120),Cristal (Original),3mm,208636
Ac (120x120),Cristal (Original),4mm,304701
Ac (120x120),Cristal (Original),5mm,356032
Ac (120x120),Cristal (Original),10mm,741052
Ac (120x120),Opal (Original),2mm,197890
Ac (120x120),Opal (Original),3mm,219156
Ac (120x120),Opal (Original),4mm,327057
Ac (120x120),Opal (Original),5mm,350655
Ac (120x120),Color (Original),3mm,219156
Ac (120x120),Color (Original),5mm,350655
Ac (120x120),Espejo (Original),3mm,303529
Ac (120x120),Cristal Mate (Original),3mm,230598
Ac (120x120),Negro Mate (Original),3mm,230598
Ac (120x120),Lila (Original),3mm,253658
Ac (120x120),Cristal Mate (Original),2mm,173864
Ac (120x90),Cristal (Recuperado),2mm,78368
Ac (120x90),Cristal (Recuperado),3mm,97061
Ac (120x90),Cristal (Recuperado),4mm,134447
Ac (120x90),Cristal (Recuperado),5mm,158173
Ac (120x90),Cristal (Recuperado),8mm,250919
Ac (120x90),Cristal (Recuperado),10mm,273207
Ac (120x90),Opal (Recuperado),2mm,81244
Ac (120x90),Opal (Recuperado),3mm,100656
Ac (120x90),Opal (Recuperado),4mm,138761
Ac (120x90),Opal (Recuperado),5mm,161768
Ac (120x90),Opal (Recuperado),8mm,255233
Ac (120x90),Opal (Recuperado),10mm,276802
Ac (120x90),Color (Recuperado),2mm,92028
Ac (120x90),Color (Recuperado),3mm,107845
Ac (120x90),Color (Recuperado),4mm,145232
Ac (120x90),Color (Recuperado),5mm,169676
Ac (120x90),Color (Recuperado),8mm,264580
Ac (120x90),Color (Recuperado),10mm,291182
Ac (120x90),Cristal (Original),2mm,125007
Ac (120x90),Cristal (Original),3mm,163532
Ac (120x90),Cristal (Original),4mm,214635
Ac (120x90),Cristal (Original),5mm,274408
Ac (120x90),Cristal (Original),6mm,310522
Ac (120x90),Cristal (Original),8mm,440287
Ac (120x90),Cristal (Original),10mm,550345
Ac (120x90),Cristal (Original),15mm,825468
Ac (120x90),Opal (Original),2mm,140732
Ac (120x90),Opal (Original),3mm,169035
Ac (120x90),Opal (Original),4mm,253967
Ac (120x90),Opal (Original),5mm,274408
Ac (120x90),Opal (Original),10mm,529074
Ac (120x90),Color (Original),2mm,113206
Ac (120x90),Color (Original),3mm,169035
Ac (120x90),Color (Original),5mm,274408
Ac (120x90),Color (Original),10mm,529074
Ac (120x90),Color Traslúcido (Original),3mm,177668
Ac (120x90),Espejo (Original),3mm,234290
Ac (120x90),Espejo Traslúcido (Original),3mm,224073
Ac (120x90),Metalizado (Original),3mm,283035
Ac (120x90),Textura Madera (Original),3mm,251673
Ac (120x90),Blanco Sellado (Original),3mm,173084
Ac (120x90),Blanco Sellado (Original),5mm,267391
Ac (120x90),Cristal Mate (Original),3mm,173084
Ac (120x90),Negro Mate (Original),3mm,173084
Ac (120x60),Cristal (Recuperado),2mm,58621
Ac (120x60),Cristal (Recuperado),3mm,70345
Ac (120x60),Cristal (Recuperado),4mm,95259
Ac (120x60),Cristal (Recuperado),5mm,109182
Ac (120x60),Cristal (Recuperado),8mm,161207
Ac (120x60),Cristal (Recuperado),10mm,190518
Ac (120x60),Opal (Recuperado),2mm,62285
Ac (120x60),Opal (Recuperado),3mm,73276
Ac (120x60),Opal (Recuperado),4mm,98923
Ac (120x60),Opal (Recuperado),5mm,111746
Ac (120x60),Opal (Recuperado),8mm,164871
Ac (120x60),Opal (Recuperado),10mm,192350
Ac (120x60),Color (Recuperado),2mm,67781
Ac (120x60),Color (Recuperado),3mm,80604
Ac (120x60),Color (Recuperado),4mm,102587
Ac (120x60),Color (Recuperado),5mm,115776
Ac (120x60),Color (Recuperado),8mm,168535
Ac (120x60),Color (Recuperado),10mm,207005
Ac (120x60),Cristal (Original),2mm,80345
Ac (120x60),Cristal (Original),3mm,108996
Ac (120x60),Cristal (Original),4mm,159182
Ac (120x60),Cristal (Original),5mm,185999
Ac (120x60),Cristal (Original),10mm,387141
Ac (120x60),Opal (Original),2mm,103382
Ac (120x60),Opal (Original),3mm,114492
Ac (120x60),Opal (Original),5mm,183190
Ac (120x60),Color (Original),3mm,114492
Ac (120x60),Color (Original),5mm,183190
Ac (120x60),Espejo (Original),3mm,158570
Ac (120x60),Cristal Mate (Original),3mm,120470
Ac (120x60),Negro Mate (Original),3mm,120470
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),2mm,40312
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),3mm,49927
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),4mm,69158
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),5mm,81363
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),8mm,129070
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),10mm,140535
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),2mm,41791
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),3mm,51776
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),4mm,71377
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),5mm,83212
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),8mm,131289
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),10mm,142384
Ac Cuarto (90x60 / 120x45),Color (Recuperado),2mm,47338
Ac Cuarto (90x60 / 120x45),Color (Recuperado),3mm,55475
Ac Cuarto (90x60 / 120x45),Color (Recuperado),4mm,74706
Ac Cuarto (90x60 / 120x45),Color (Recuperado),5mm,87280
Ac Cuarto (90x60 / 120x45),Color (Recuperado),8mm,136097
Ac Cuarto (90x60 / 120x45),Color (Recuperado),10mm,149781
Ac Cuarto (90x60 / 120x45),Cristal (Original),2mm,64560
Ac Cuarto (90x60 / 120x45),Cristal (Original),3mm,84456
Ac Cuarto (90x60 / 120x45),Cristal (Original),4mm,110848
Ac Cuarto (90x60 / 120x45),Cristal (Original),5mm,141717
Ac Cuarto (90x60 / 120x45),Cristal (Original),6mm,160368
Ac Cuarto (90x60 / 120x45),Cristal (Original),8mm,227385
Ac Cuarto (90x60 / 120x45),Cristal (Original),10mm,284225
Ac Cuarto (90x60 / 120x45),Cristal (Original),15mm,426311
Ac Cuarto (90x60 / 120x45),Opal (Original),2mm,72681
Ac Cuarto (90x60 / 120x45),Opal (Original),3mm,87298
Ac Cuarto (90x60 / 120x45),Opal (Original),5mm,141717
Ac Cuarto (90x60 / 120x45),Opal (Original),10mm,273239
Ac Cuarto (90x60 / 120x45),Color (Original),2mm,58465
Ac Cuarto (90x60 / 120x45),Color (Original),3mm,87298
Ac Cuarto (90x60 / 120x45),Color (Original),5mm,141717
Ac Cuarto (90x60 / 120x45),Color (Original),10mm,273239
Ac Cuarto (90x60 / 120x45),Color Traslúcido (Original),3mm,91757
Ac Cuarto (90x60 / 120x45),Espejo (Original),3mm,120999
Ac Cuarto (90x60 / 120x45),Espejo Traslúcido (Original),3mm,115722
Ac Cuarto (90x60 / 120x45),Metalizado (Original),3mm,146173
Ac Cuarto (90x60 / 120x45),Textura Madera (Original),3mm,129976
Ac Cuarto (90x60 / 120x45),Blanco Sellado (Original),3mm,89389
Ac Cuarto (90x60 / 120x45),Blanco Sellado (Original),5mm,138094
Ac Cuarto (90x60 / 120x45),Cristal Mate (Original),3mm,89389
Ac Cuarto (90x60 / 120x45),Negro Mate (Original),3mm,89389
Ac Octavo (60x45),Cristal (Recuperado),2mm,20438
Ac Octavo (60x45),Cristal (Recuperado),3mm,25313
Ac Octavo (60x45),Cristal (Recuperado),4mm,35063
Ac Octavo (60x45),Cristal (Recuperado),5mm,41250
Ac Octavo (60x45),Cristal (Recuperado),8mm,65438
Ac Octavo (60x45),Cristal (Recuperado),10mm,71250
Ac Octavo (60x45),Opal (Recuperado),2mm,21188
Ac Octavo (60x45),Opal (Recuperado),3mm,26250
Ac Octavo (60x45),Opal (Recuperado),4mm,36188
Ac Octavo (60x45),Opal (Recuperado),5mm,42188
Ac Octavo (60x45),Opal (Recuperado),8mm,66563
Ac Octavo (60x45),Opal (Recuperado),10mm,72188
Ac Octavo (60x45),Color (Recuperado),2mm,24000
Ac Octavo (60x45),Color (Recuperado),3mm,28125
Ac Octavo (60x45),Color (Recuperado),4mm,37875
Ac Octavo (60x45),Color (Recuperado),5mm,44250
Ac Octavo (60x45),Color (Recuperado),8mm,69000
Ac Octavo (60x45),Color (Recuperado),10mm,83532
Ac Octavo (60x45),Cristal (Original),2mm,32794
Ac Octavo (60x45),Cristal (Original),3mm,42900
Ac Octavo (60x45),Cristal (Original),4mm,56307
Ac Octavo (60x45),Cristal (Original),5mm,71987
Ac Octavo (60x45),Cristal (Original),6mm,81461
Ac Octavo (60x45),Cristal (Original),8mm,115503
Ac Octavo (60x45),Cristal (Original),10mm,144375
Ac Octavo (60x45),Cristal (Original),15mm,216550
Ac Octavo (60x45),Opal (Original),2mm,36919
Ac Octavo (60x45),Opal (Original),3mm,44344
Ac Octavo (60x45),Opal (Original),5mm,71987
Ac Octavo (60x45),Opal (Original),10mm,138795
Ac Octavo (60x45),Color (Original),2mm,29698
Ac Octavo (60x45),Color (Original),3mm,44344
Ac Octavo (60x45),Color (Original),5mm,71987
Ac Octavo (60x45),Color (Original),10mm,138795
Ac Octavo (60x45),Color Traslúcido (Original),3mm,46609
Ac Octavo (60x45),Espejo (Original),3mm,61463
Ac Octavo (60x45),Espejo Traslúcido (Original),3mm,58783
Ac Octavo (60x45),Metalizado (Original),3mm,74250
Ac Octavo (60x45),Textura Madera (Original),3mm,66023
Ac Octavo (60x45),Blanco Sellado (Original),3mm,45406
Ac Octavo (60x45),Blanco Sellado (Original),5mm,70147
Ac Octavo (60x45),Cristal Mate (Original),3mm,45406
Ac Octavo (60x45),Negro Mate (Original),3mm,45406
MDF a medida,MDF 2.5mm/2.7mm,MDF 2.5mm/2.7mm,2.0
MDF a medida,MDF 5.5mm,MDF 5.5mm,5.0
MDF a medida,MDF 9mm,MDF 9mm,9.0
MDF a medida,MDF 12mm,MDF 12mm,12.0
Vinilo a medida,Regular,Regular,2.0
Vinilo a medida,Brush,Brush,4.0
Vinilo a medida,Fotoluminiscente 5h,Fotoluminiscente 5h,10.0
Vinilo a medida,Fotoluminiscente 10h,Fotoluminiscente 10h,20.0
Vinilo a medida,Transfer,Transfer,1.5
Impresión,Vinilo laminado,Vinilo laminado,6.0
Impresión,Vinilo laminado en espejo,Vinilo laminado en espejo,6.5
Impresión,Banner,-,8.0
Poliestireno a medida,Blanco u Opal (P),40(1mm),3.5
Poliestireno a medida,Blanco u Opal (P),60(1.5mm),5.0
Poliestireno a medida,Blanco u Opal (P),80(2mm),6.5
Poliestireno a medida,Blanco u Opal (P),100(2.5mm),8.0
Poliestireno a medida,Colores (P),40(1mm),3.5
Poliestireno a medida,Colores (P),60(1.5mm),5.0
Poliestireno a medida,Colores (P),80(2mm),6.5
Poliestireno a medida,Colores (P),100(2.5mm),8.0
PET-G a medida,PET-G a medida,40(1mm),9.0
ABS,Silver,2.5mm,20.0
ABS,Otros,2.5mm,16.5
Eléctricos,Neón Flex,Metro instalado,30000.0
Eléctricos,Neón Flex,Metro suelto,15000.0
Eléctricos,Fuente,12V-1A,10000.0
Eléctricos,Fuente,12V-2A,18000.0
Eléctricos,Fuente,12V-3A,25000.0
Eléctricos,Fuente,12V-5A,40000.0
Eléctricos,Fuente,12V-10A,70000.0
Herrajes,Cerradura,Grande,6000.0
Herrajes,Cerradura,Pequeña,4000.0
Herrajes,Bisagra Acrílica,Grande,3000.0
Herrajes,Bisagra Acrílica,Mediana,4500.0
Herrajes,Bisagra Acrílica,Pequeña,6000.0
Herrajes,Dilatador,D2xA2,6000.0
Letras Volumétrica,Color_LC,Con luz_C, 4500.0
Letras Volumétrica,Color_LC,Sin luz_C, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Con luz_B, 4500.0
Letras Volumétrica,Brush (Silver)_LC,Sin luz_B, 4500.0
Corte/Grabado,Tiempo,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,Tiempo (minutos),1000.0
Corte/Grabado,Grabado,0.05,135.7050
Corte/Grabado,Grabado,0.06,113.1567
Corte/Grabado,Grabado,0.07,97.1100
Corte/Grabado,Grabado,0.08,85.2133
Corte/Grabado,Grabado,0.09,75.8067
Corte/Grabado,Grabado,0.1,68.1983
Corte/Grabado,Grabado,0.11,62.2500
Corte/Grabado,Grabado,0.12,56.9933
Corte/Grabado,Grabado,0.13,52.7050
Corte/Grabado,Grabado,0.14,48.9700
Corte/Grabado,Grabado,0.15,45.6500
Corte/Grabado,Grabado,0.2,34.4450
Corte/Grabado,Grabado,0.25,27.6667
Corte/Grabado,Grabado,0.3,23.1017
Corte/Grabado,Grabado,0.35,19.9200
Corte/Grabado,Grabado,0.4,17.4300
Corte/Grabado,Grabado,0.45,15.4933
Corte/Grabado,Grabado,0.5,13.9717
Mano de obra,-,-,1.0
Otros,-,-,1.0
